claim,evidence,label
Former U.S. President George W. Bush supports the Democratic presidential ticket of Joe Biden and Kamala Harris.,['A group of former George W. Bush administration and campaign officials has launched a new super PAC to mobilize disaffected Republican voters for presumptive Democratic presidential nominee Joe Biden'],REFUTED
The Annabelle doll escaped from the Warren's Occult Museum on 14th August 2020 at 3am.,"[""The Warren's son-in law posted a clip on the Official Ed & Lorraine Warren YouTube channel showing the doll in it's display case on 14th August 2020.""]",REFUTED
"The media is ignoring the tragic death of a 5-year-old boy who was fatally shot by a neighbor in Wilson, North Carolina, on August 9, 2020.","['CNN reported:\n\nPolice have charged a 25-year-old man with first-degree murder after they say he shot and killed a 5-year-old boy last week in Wilson, North Carolina.\n\nHinnant told the affiliate he looked up and saw his neighbor, Darius Sessoms, in the yard next door with a gun in hand, pacing and frantic.', 'ABC News reported: \n\nThe 5-year-old was shot and killed by a neighbor while riding his bike in Wilson, North Carolina, last weekend, according to police.']",REFUTED
"The murder of Oscar Grant, by a police officer in the United States, was never prosecuted by the DA.","[""A jury found former BART officer Johannes Mesherle guilty of involuntary manslaughter. killing Oscar Grant, on a BART platform on New Year's Day 2009.""]",REFUTED
Former president Pranab Mukherjee from India has passed away.,"[""The condition of former President Pranab Mukherjee continues to be critical and he remains on ventilator support, the Army's Research and Referral hospital said on Wednesday.\nThe former President was admitted to the R&R hospital in the Delhi cantonment on August 10 and was operated for removal of a clot in his brain. “Shri Pranab Mukherjee's health condition continues to remain critical. Presently he is haemodynamically stable and on a ventilator,” a statement from the hospital said."", '""The condition of former President Pranab Mukherjee remains unchanged this morning. He is deeply comatose with stable vital parameters and continues to be on ventilatory support,"" Army Research & Referral (R&R) Hospital said Thursday morning.']",REFUTED
Creativity is contagious. Pass it on was said by Albert Einstein,['No evidence was found of Einstein writing or saying this quote.'],REFUTED
Russia has successfully developed a vaccine for Covid-19 and it has passed all checks.,"['First, the vaccine has been approved even before the vital Phase 3 trial started on August 12. According to the ‘Sputnik V’ website, “Phase 3 clinical trial involving more than 2,000 people in Russia, a number of Middle Eastern (UAE and Saudi Arabia), and Latin American countries (Brazil and Mexico) will start on August 12. Mass production of the vaccine is expected to start in September 2020.”\n\nThe website also says that “emergency rules adopted during the Covid-19 pandemic can be used to vaccinate the population in Russia”.', 'The second problem is that even for the just-concluded Phase 2 of trial, the sample size was too small for fair evaluation about the safety and efficacy. All the data about the testing has not been made public yet. According to “Science” magazine, so far, it has only been tested on 76 people in total']",REFUTED
"Sarah Huckabee Sanders said ""it's not the government's job to protect my health"" and that ""when you trade liberty for safety, you end up losing both""","['The twitter handle used misspells her name and the usbe bio reads ""I\'m not who you think I am"" her real account is @SarahHuckabee.']",REFUTED
President Trump Says He Hopes The NFL Season Gets Canceled Due To Coronavirus,"[""he said if the NFL doesn't stand for the national anthem, he hopes they don't open."", ""In the article Trump said  “Well they want to open, and they want to open badly and they've been working with government. I would say this: if they don't stand for the national anthem I hope they don't open, but other than that I'd love to see them open and we're doing everything possible for getting them open.” which different from what the headline says""]",REFUTED
COVID-19 virus is airborne.,"['WHO and the U.S. CDC also acknowledged increasing evidence that SARS-CoV-2 can spread through airborne transmission, but current evidence shows that it only occurs in indoor spaces with poor ventilation. WHO said further studies are needed to establish if airborne transmission may occur in the absence of aerosol-generating procedures.\n\nSARS-CoV-2 can become airborne when tiny droplets called droplet nuclei or aerosols containing it get suspended in the air, according to a global team of public health experts convened by international non-profit media group Meedan. Droplet nuclei are microscopic and much smaller in size than respiratory droplets (almost five to 10 micrometers), according to WHO.']",SUPPORTED
Amazon CEO Jeff Bezos has offered free one-day Prime shipping for all mail-in ballots.,"['The man who posted the claim, Andy Borowitz, is the author of The New Yorker’s satirical column, The Borowitz Report. His Facebook page is listed as ""comedian"" and links to many of his satirical articles.']",REFUTED
"The Australian govt is handing out $25,000 to all nursing homes who label covid as the main cause of deaths on death certificates.","['But this briefing note on the state’s Department of Health & Human Services website explains that in Victoria, only a registered medical practitioner can certify a death or complete a Medical Certificate of Cause of Death (MCCD).']",REFUTED
Madagascar has found a coronavirus medicine that can wipe out the virus at any stage within a period of six days.,"['There is currently no licensed medication to cure COVID-19.', 'The herbal drink has not been scientifically tested and there’s no proof it works against COVID-19. \n\n“The scientific evidence that this is effective has not been proved. It’s likely that it could actually harm the health of the population, particularly that of children,” said the president of Madagascar’s Academy of Medicine, Marcel Razanamparany, in a statement.']",REFUTED
"The USA has more COVID-19 cases, because they do more tests","['Epidemiologists and infectious disease experts have disputed the White House claims for weeks, citing rising hospitalization numbers and deaths. It’s hard to argue that extremely sick people, let alone dead people, had been obscured by low levels of testing but suddenly revealed by higher levels.\n\nWithout a doubt, many cases of Covid-19 in March, April, and May weren’t picked up. In late June, Centers for Disease Control and Prevention Director Robert Redfield told reporters that as many as 90% of cases had been missed; that is, although there were 2.3 million confirmed cases in the U.S. then, some 20 million people had probably been infected. But that reasoning applies today, too: Despite months of government claims to the contrary, not everyone who wants, or should have, a test is getting one. Using data from Covid Tracking, STAT looked at the number of people tested and the number who tested positive for the disease (cases) in every state and Washington, D.C. We did that for three dates: in mid-May, mid-June, and mid-July. (Due to reporting anomalies, the dates selected sometimes differed by a day or two between states.)\n\nFor each date, we calculated the number of cases found per 1,000 tests — a measure of the disease’s prevalence. For example, in Florida on May 13, that rate was 32. On June 13 it was 75. On July 13 it was 193. On May 13, Florida tested 15,159 people; on July 13, it tested 65,567. So indeed, the number of tests has increased.']",REFUTED
France approves the use of HCQ for treatment of Covid 19. After trials proved successful. 800 hospital have commenced using it.,"['27/05/2020\n French government said Wednesday that doctors should no longer prescribe hydroxychloroquine for COVID-19 patients, an unproven and potentially harmful treatment for the disease nonetheless promoted by US President Donald Trump.\n\nThe move came after two French advisory bodies and the World Health Organization (WHO) warned this week that the drug, a treatment for rheumatoid arthritis and lupus, had been shown to be dangerous in several studies.']",REFUTED
"The late Rep. John Lewis, D-Ga., didn't come to Trump's inauguration. He didn't come to Trump's State of the Union speeches.",['Did not attend.'],SUPPORTED
The violence in Portland is getting better since federal agents went in. They've arrested a lot of people.,"['22 were Arrested, and Facing Federal Charges After Protest at Federal Courthouse in Portland\nCharges include assaulting federal officers, failing to obey lawful orders, and operating a drone in restricted airspace', 'federal government agreed to withdraw federal officers from Portland on 29 Jul 2020']",REFUTED
"Millions of ballots are being mailed, nobody even knows where they’re going.","['Notwithstanding any limitation on the distribution of vote-by-mail\nballots in Elections Code sections 1500 and 4000-4007, or any other\nprovision of state law, each county elections officials shall transmit\nvote-by-mail ballots for the November 3, 2020 General Election to all\nvoters who are, as of the last day on which vote-by-mail ballots may\nbe transmitted to voters in connection with that election, registered to\nvote in that election. As set forth in this paragraph, every Californian\nwho is eligible to vote in the November 3, 2020 General Election shall\nreceive a vote-by-mail ballot.']",REFUTED
South Korea have spikes of Covid cases and nobody knows if they only had 300 deaths.,['The Chart shows there no record of more than 200 case in a day'],REFUTED
"""Depending on which study you look at,"" he said, ""either 68% or 5 out of 6 individuals ... are making more on unemployment than they did on the job.""",['That means that three in four unemployed workers are eligible for\nbenefits which exceed their lost wages. The median statutory replacement rate is 145%. 69% of unemployed\nworkers have comprehensive replacement rates above 100% and so qualify for unemployment benefits which\nexceed total post-payroll tax wages and non-wage compensation. The median comprehensive replacement\nrate is 134%'],SUPPORTED
Devender Sharma ran an illegal kidney racket on the pretext of coronavirus.,"[""Dr Sharma ran an illegal kidney racket in the early 2000's."", ""Devender Sharma was already serving a life sentence when the Covid-19 epidemic started. His crimes took place in the early 2000's.""]",REFUTED
"The COVID-19 vaccine developed by Bharat Biotech will be available on the market on August 15, 2020.","[""India's COVID-19 vaccine candidates will go through a rigorous evaluation process that will not be compromised, the government's Principal Scientific Advisor K VijayRaghavan said on Friday, indicating that the ICMR-Bharat Biotech vaccine is unlikely to be out by August 15.""]",REFUTED
"A married couple in Florida, Tito and Amanda Watts, was arrested for selling fake golden tickets to heaven to hundreds of people.","['UPDATE: This story turned out to be an April Fool’s joke, and unfortunately we fell for it. The story, which several other websites also reported as fact, originated on March 31 with the website Stuppid.com, and the photos of the fictional “Tito and Amanda Watts” came from this 2011 collection of bizarre mug shots. We apologize for publishing false information and regret this error.']",REFUTED
There is a ‘global average’ for the number of judges and magistrates to number of people,"['No it varies per country, for example: \n1.3 judges or magistrates for every 100,000 people in Kenya in 2014, 3.6 for South Africa in 2015, and 0.8 for the US and 8.7 for China in 2017.']",REFUTED
"Soon Ram Mandir will also have a kitchen and Bhojanalya, where devotees visiting the town will be offered free meals and the ‘Raghupati’ laddus as Prasadam","['As per Prabhat Khabar, Mahavir Temple Trust of Patna will arrange a community banquet for the devotees of Ram temple in Ayodhya and the name will be ‘Ram Rasoi’.\n\nThe Trust plans to make regular meals and ‘Raghupati’ laddus for devotees in this kitchen. The trust started a community kitchen ‘Sita Rasoi’ in Sitamarhi, the birthplace of Sita where free meals are now being served. In Ayodhya, a similar kitchen will be started near Lord Ram Janambhoomi site, which will be named as ‘Ram Rasoi’.']",SUPPORTED
The judiciary does not even get 1% of the Kenyan national budget.,"['In 2014–15, 1.1% of the national budget went to the judiciary.']",SUPPORTED
"Social distancing, to prevent the spread of coronavirus was not practiced at the funeral of civil rights icon, John Lewis.","['The church’s senior pastor, Raphael Warnock, referred to social distancing at the 39:32 mark of the livestreamed service when he spoke of “these difficult days that have even made grieving more challenging. At a time when we would find comfort in embracing one another, love compels us to socially distance.”', 'Photo by Alyssa Pointer / POOL / AFP']",REFUTED
Ghislaine Maxwell tested positive for Covid-19 in jail.,"['This is an entertainment website written to satirize news events, politics, and popular faces and ideas, and to provide commentary on social attitudes and trends.\nWhile familiar names of celebrities and other media figures as well as familiar agencies and organizations are used, all news stories contained within are fictional in nature. Most of the words and actions attributed to these figures are created entirely by the author, who has tiny, feminine hands, and who was once friend-zoned by his own sister.\nThe purpose of this site is to entertain. Failing that, we’ll settle for “bother” or “annoy”. We’re not a particularly proud publication.\nPlease do not attempt anything described in any of these articles, except under strict hip-hop supervision.\nSimilarities between events published here and any actual events involving pretty much anyone would really be a shame.']",REFUTED
Taylor Swift says we should remove the Statue of Liberty.,['The screenshot looks to be from a Brazilian site which only publishes in Portuguese but the screenshot is in English'],REFUTED
Russia offered bounties to the Taliban to kill U.S. troops in Afghanistan.,"['Leading Republican lawmakers on Monday confirmed that U.S. intelligence agencies have developed information about a Russian military operation targeting U.S. and allied forces in Afghanistan. But they said that any U.S. response should wait until intelligence agencies fully review the material, some of which was shared with members of Congress in a classified briefing at the White House.\nCurrent and former intelligence officials familiar with the intelligence said it was less ambiguous than White House officials and some lawmakers have portrayed and indicated that Russian military intelligence had offered bounties to Taliban-linked militants who killed U.S. military personnel.']",SUPPORTED
The South Sudan government has teamed up with the world bank to offer grants worth 41.4$ million to entrepreneurs,"[""South Sudan's ministry of Finance and Planning have disputed this claim.""]",REFUTED
Republican bill says no medical malpractice suits until 2024.,"['Law experts said via email interview that there were provisions in the bill that could reduce the number of suits filed, including a standard for negligence that’s higher than what state laws commonly require.\nhowever the email is not linked. But the bill itself in the source implies this.']",REFUTED
"Actor Sonu Sood launched a toll-free number on May 26 to facilitate migrants to reach their home. Through this toll-free number, one can easily reach out to Sonu Sood’s team for help.","['Actor Sonu Sood said he has launched a toll free number to facilitate migrants to reach their home.\nMoved by the plight of troubled migrants walking several miles without food and water to reach their home, Sood facilitated several buses for workers stuck in the city due to the nationwide lockdown.']",SUPPORTED
Tom Hanks went on on national TV to say he had COVID 19,"['On Instagram', 'Actor Tom Hanks and his wife, Rita Wilson, have been released from an Australian hospital after being treated for the new coronavirus.\n\nThe couple left hospital and were in self-quarantine, son Chet Hanks said in a video message on his Instagram account.']",REFUTED
"The United Nations delivered a formal stand down order to the Trump administration in July 2020, ordering the President to stop Federal officers from using non-lethal force against peaceful protesters in Portland.",['There was a link to the UN News Website but mentioned no stand down.'],REFUTED
UNICEF stated that Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask prevents its entry.,['UNICEF does not issue coronavirus advisories on chat apps. We post updates and safety tips only on official verified UNICEF accounts and on  the official website:'],REFUTED
"Due to their exterior anatomy, male testicles are especially susceptible to 5G radiation, which lowers sperm count. Just the same, cellular radiation kills off irreplaceable eggs in females.",['FDA stated: No New implications for 5G'],REFUTED
Target ended its “Heroes & Helpers” program that pairs children with police officers for holiday shopping trips,"['Heroes & Helpers events pair public safety officers with in-need youth for a day of holiday shopping in Target stores, helping them form strong relationships in the process. Local law enforcement select kids and families to participate.', 'The scheme celebrated its tenth anniversary in 2019.']",REFUTED
Little girl shown lying in a casket in a photo died from COVID-19.,"['Jan. 24, 2014']",REFUTED
Kenyan counties have over the past year sustained an average allocation of 24% of their total budgets to the health sector.,['The Link below shows web table where the average budget of 24% is allocated to Health.'],SUPPORTED
Man dies at the R N Cooper Hospital in Mumbai due to medical negligence.,"['He was bleeding from mouth&was immediately given primary aid. Symptoms of pneumonia were seen. Symptoms of pneumonia&COVID are similar, cause of death was registered as pneumonia&suspected COVID. As per ICMR protocol his body was handed over to Police but family got agitated: BMC\nHospital mgmt did what was prescribed under ICMR guidelines & patient was immediately admitted and was given the required treatment. So this is not true that there was some carelessness by the hospital. Allegations on Hospital and Municipal authorities are unfortunate: BMC']",REFUTED
"Indiana woman charged for mail in voter fraud, delivered 400 ballots with Democrat box prechecked","['Prosecutors have filed a felony election fraud charge against Vanderburgh County Democratic Party activist Jan Reed, who was accused last month of illegally sending hundreds of absentee ballot applications']",SUPPORTED
Mel Gibson accused Hollywood of child sacrifices and paedophillia.,['He has not spoken or made any statement as regarding sexual assault or child sacrifices'],REFUTED
"Greenhouse gases emitted into the ocean are causing more holes in the ozone layer; the ozone layer has holes in it, causing global temperatures to rise.","['Chlorofluorocarbons are exceptionally strong greenhouse gases and are also responsible for the destruction of stratospheric ozone.', 'Chlorofluorocarbons are exceptionally strong greenhouse gases', ""Greenhouse gasses (GHG's) are a gas that absorbs and emits radiant energy (heat)""]",REFUTED
"A rare yellow turtle was spotted in Balasore, Odisha.","[""Balasore: Residents of a village in Odisha's Balasore district, 196 km from capital Bhubaneswar, witnessed a unique sight on Sunday. They spotted a turtle, yellow in colour.\nA senior wildlife officer said it is a rare spotting.""]",SUPPORTED
Netflix will end its Turkish service after the production of an upcoming local drama that was blocked by the country’s government over a gay character.,['Netflix confirmed that  it has canceled production on its original Turkish series but it didn’t halt all of its production services as mentioned in the circulating claims.'],REFUTED
Joe Biden wants to end school choice,"['He said  “the bottom line is charters schools siphon off money for our public schools, which are already in enough trouble.”']",REFUTED
"Cal Cunningham, North Carolina’s 2020 Democratic Senate candidate, voted to raise taxes in the state by over $1 billion in 2001.","['According to reporting by The Charlotte Observer at the time, the two-year budget passed by Democratic state lawmakers and one House Republican in 2001 included a 1/2-cent statewide sales tax increase, for two years, that did not apply to food.\nThe overall tax increases amounted to $1 billion over two years.']",SUPPORTED
"Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases wrote: I reject the notion that it’s 'just a virus’ and we’ll all get it eventually. What a careless, lazy, heartless stance.",['A user named Amy Wright has taken credit for the statement.'],REFUTED
"The Governor of Osun State, Gboyega Oyetola, was in Abuja for three days and was not able to see Governor Mai Mala Buni, who is the Chairman of the All Progressives Congress (APC) National Caretaker Committee.","[""Governor Adegboyega Oyetola in Abuja today, Friday, July 17, with the All Progressives Congress  National Caretaker Committee Chairman and Yobe Governor,  Mai Mala Buni, shortly before the Committee's meeting at the party's National Secretariat.""]",REFUTED
Shanghai China International News asked all subscribers not to send good morning and good night images or videos on WhatsApp,['Could not find any evidence of them online.'],REFUTED
The Bank of America pledged $1 billion dollars to Black Lives Matter.,['This isn’t true. Bank of America announced it would donate the funds over the next four years to communities of color and minority-owned businesses that have experienced a greater impact from the COVID-19 health crisis.'],REFUTED
Azerbaijan has threatened to bomb the nuclear power plant in Armenia.,"['""The Armenian side must not forget that our army\'s state-of-the-art missile systems allow us to strike the Metsamor nuclear plant with precision, which could lead to a great catastrophe for Armenia,"" Vagif Dargahli, the Azerbaijani Defense Ministry spokesman, said on July 16, hours after hostilities had resumed following a one-day lull.', 'American media personality Kim Kardashian West, whose father has Armenian heritage, posted a message about the fighting on social media.']",SUPPORTED
"John Hickenlooper, the former Governor of Colorado accepted donations from Anadarko Petroleum Corp, a oil and gas company involved in a 2017 fatal explosion, in exchange for the company not being penalized.","['Among the biggest donors was the former Anadarko Oil and Gas. The company donated $25,000 to the governor’s office in 2017, just days after a deadly explosion in Firestone was tied to a leaking underground pipeline owned by the company. Over the course of four years, it gave the governor’s office more than $330,000, money for which there is little accounting.', 'A Hickenlooper campaign spokesperson told us the company had already contributed nearly $219,000 to Hickenlooper’s administration prior to the Firestone accident.', 'The analysis found no evidence that the donations were connected to official action taken by Hickenlooper’s administration.', 'CBS4 found no evidence of a quid pro quo', 'Frank Lamonte, Director of the Brechner Center for the Freedom of Information, said he’s never heard of direct donations to a governor’s office without oversight. “Big dollar presents like that are the exact kind of things that ethics laws seek to prohibit and regulate.”\n\nWhile CBS4 found no evidence of a quid pro quo, Lamonte said the potential is certainly there. Lamonte calls the donations an end-run around campaign finance laws that come with limits and public disclosure, “Even if it’s well-intentioned and there is no influence buying going on, it just raises all sorts of red flags that it could influence the direction of policy and it could influence what legislation is prioritized, it could give, at least if not influence, it could give preferred access to the governor.”', 'As for no Anadarko officials being prosecuted, Sharon Jacobs, an associate professor at the University of Colorado School of Law, told us that would have been up to the state attorney general at the time — not Hickenlooper.', 'The attorney general “is a separately elected official in Colorado and makes independent prosecutorial decisions,” Jacobs said in an email. “The Governor does not make these choices.”', 'Hickenlooper’s successor, Democratic Gov. Jared Polis']",REFUTED
Free federal housing for former inmates.,"[""'It will ensure that 100 percent of returning citizens\nhave access to transitional housing upon reentry from jail or prison.""]",REFUTED
"The Democrats want to abolish US police departments. They want to abolish our prisons, I guess.","['""Abolish"" is mentioned 4 times but not with any reference to police departments or prisons.']",REFUTED
"Biden plans to ""mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.","['The energy efficient buildings are meant to use high-performance windows that meet ENERGY STAR v5.0 and v6.0 specifications (depending on climate zone). The required U and solar heat gain coefficient (SHGC) values are shown below, effective 8/22/2016.']",REFUTED
The Biden-Sanders unity platform includes a plan to appoint social justice prosecutors in order to free violent criminals.,['The document includes a plan to support state prosecutors to ensure public safety while reducing incarceration.'],REFUTED
"Abolish immigration detention. No more detention. You come in here illegally, no more detention.","['they proposed to end for-profit detention centers, but not for an abolition of all detention centers']",REFUTED
Bonnie Henry issued advice about living with the threat of Covid-19.,"['Dr. Bonnie Henry, MD MPH FRCPC, Deputy Provincial Health Officer for the Province of British Columbia, and Associate Professor, UBC School of Population of Public Health, is a specialist in Public Health and Preventive Medicine and is Board Certified in Preventive Medicine in the U.S', 'An example is when she made a statement about the easing of restrictions imposed due to the pandemic']",SUPPORTED
Clinical trials have been completed for potential Russian COVID-19 vaccine.,"['The vaccine was only in Phase one at this time, It had not completed all clinical trials.']",REFUTED
"Sarah Sachin Pilot attacks Gehlot in a tweet saying that even ""big magicians"" will start sweating when they turn to Delhi.","[""Please don't use tweets from here to file stories. This is a FAKE twitter account. \n\nSurprised to see tweets from this account making it to mainstream news and agency stories. \n@TwitterIndia please take note"", '... the account of ‘Sarah Sachin Pilot’ was not verified.']",REFUTED
South Africans have the right to resist isolation or quarantine if found to hsve the virus,"['South Africa’s health guidelines for COVID-19 state that an individual can successfully self-quarantine if they have access to a separate room where no one else spends time\n“Where these requirements cannot be met, the person should quarantine in a designated facility,” the government advises.']",REFUTED
Answering a call from '+140' will empty your bank account.,['Sony LIV tweeted that it was a promotional activity and If you have received a call for our show Undekhi & it has disturbed you we would like to sincerely apologise to you. This was a test activity which has gone out accidentally & our intention was not to cause any kind of discomfort or panic. We sincerely regret any inconvenience.'],REFUTED
PR stunt by TV channel leads to police warning on phone no. starting with 140,['@Mumbai Police clarified that numbers starting with +140 are telemarketing calls. and for people not to believe The viral message rumour.'],SUPPORTED
"Proud to be AMU alumnus, 35-year-old scientist Kushbu Mirza, has been promoted as Director in ISRO. She is an alumnus of Aligarh Muslim University and only the 2nd Muslim Scientist after Dr.A.P.J. Abdul Kalam to hold this rank at ISRO","['she has been promoted to director of  scientists Rank-F.', 'Kalam was Project director for SLV-III project which was India’s first indigenously designed and produced a satellite launch vehicle. Later he was shifted to the Defence Research and Development Organization (DRDO).']",REFUTED
The CDC may have to stop calling COVID-19 an ‘epidemic’ due to a remarkably low death rate.,"['The epidemic threshold ""refers to the point at which the observed proportion of deaths is significantly higher than would be expected at that time of the year in the absence of substantial influenza, and now COVID-related mortality."" Deaths are a lagging indicator of COVID-19, partly because of a delay in the processing of death certificates. Death rates alone don’t ""have bearing on whether COVID-19 is still an epidemic,"" given that the extent of the outbreak is the primary factor.']",REFUTED
